time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.754809,0.6035,-0.1850,-1.9388,2.039
2.760024,0.5491,-0.1777,-1.4695,1.579
2.761846,0.5060,-0.1687,-1.0077,1.140
2.766376,0.4595,-0.1591,-0.5484,0.733
2.772232,0.4172,-0.1546,-0.0958,0.455
2.776945,0.3673,-0.1869,0.3191,0.521
2.780998,0.2580,-0.2590,0.6558,0.751
2.785627,0.1355,-0.3426,0.9073,0.979
2.792165,0.0291,-0.4141,1.1024,1.178
2.795331,-0.0847,-0.4404,1.2531,1.331
2.799594,-0.2032,-0.4457,1.3500,1.436
2.803994,-0.2832,-0.4276,1.3740,1.467
2.809387,-0.3153,-0.3717,1.3154,1.403
2.813756,-0.3737,-0.2994,1.1911,1.284
2.818296,-0.4702,-0.2175,1.0440,1.165
2.824279,-0.5901,-0.1447,0.9073,1.092
2.827916,-0.6853,-0.0735,0.7833,1.043
2.832579,-0.7222,0.0011,0.6934,1.001
2.838265,-0.7033,0.0554,0.5992,0.926
2.842123,-0.6310,0.0778,0.4886,0.802
2.846699,-0.5582,0.0969,0.3927,0.689
2.851334,-0.4920,0.1132,0.2947,0.585
2.856218,-0.4041,0.1053,0.1707,0.451
2.861235,-0.3304,0.0829,0.0564,0.345
2.865696,-0.2805,0.0560,-0.0434,0.289
2.869969,-0.2164,0.0317,-0.1312,0.255
2.876125,-0.1481,0.0079,-0.2093,0.256
2.880376,-0.0902,-0.0395,-0.2658,0.283
2.884513,-0.0215,-0.0913,-0.2814,0.297
2.889149,0.0554,-0.1284,-0.2635,0.298
2.894861,0.1238,-0.1511,-0.2168,0.292
2.898421,0.1760,-0.1713,-0.1771,0.303
2.902949,0.2004,-0.1941,-0.1395,0.312
2.908208,0.2065,-0.2147,-0.0874,0.310
2.912554,0.2138,-0.2236,-0.0255,0.310
2.917709,0.2152,-0.2185,0.0294,0.308
2.922203,0.1988,-0.2138,0.0774,0.302
2.926880,0.1790,-0.1929,0.1208,0.290
2.931455,0.1393,-0.1702,0.1573,0.270
2.936302,0.0655,-0.1601,0.1820,0.251
2.941532,-0.0230,-0.1502,0.1710,0.229
2.945881,-0.0996,-0.1405,0.1219,0.211
2.950287,-0.1716,-0.1262,0.0968,0.234
2.955645,-0.2125,-0.0977,0.1077,0.257
2.960337,-0.2198,-0.0576,0.1354,0.265
2.964785,-0.2177,-0.0251,0.1704,0.278
2.969566,-0.2063,0.0023,0.1912,0.281
2.974066,-0.2025,0.0221,0.2073,0.291
2.978845,-0.2203,0.0247,0.2236,0.315
2.983450,-0.2504,-0.0017,0.2280,0.339
2.989980,-0.2639,-0.0213,0.2231,0.346
2.992903,-0.2512,-0.0315,0.2110,0.330
2.999092,-0.2219,-0.0539,0.1967,0.301
3.002238,-0.2001,-0.0693,0.1825,0.280
3.007139,-0.1858,-0.0754,0.1708,0.263
3.011634,-0.1670,-0.0674,0.1904,0.262
