time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001249,0.5724,0.2741,0.6262,0.892
0.001513,0.5004,0.1560,0.4447,0.687
0.005762,0.3386,0.0868,0.0788,0.358
0.011852,0.3016,0.0851,0.0499,0.317
0.016047,0.2717,0.0935,-0.0151,0.288
0.020479,0.2635,0.0832,-0.0567,0.282
0.025648,0.2866,0.0684,-0.0132,0.295
0.031018,0.3030,0.0557,0.1365,0.337
0.035734,0.3124,0.0377,0.2328,0.391
0.040249,0.3046,0.0331,0.2149,0.374
0.045797,0.3035,0.0437,0.1389,0.337
0.050645,0.2944,0.0880,0.1030,0.324
0.055282,0.2817,0.1060,0.1382,0.331
0.060467,0.3292,0.1426,0.0973,0.372
0.065011,0.2982,0.1999,-0.0309,0.360
0.069941,0.3289,0.2681,-0.1479,0.449
0.075119,0.3043,0.2897,-0.1894,0.461
0.079986,0.2739,0.3033,-0.2508,0.479
0.085149,0.2638,0.3422,-0.3700,0.569
0.089901,0.4018,0.4157,-0.5369,0.789
0.096623,0.5202,0.5092,-0.6822,0.998
0.102235,0.5882,0.5727,-0.7395,1.105
0.104890,0.6061,0.6252,-0.7688,1.162
0.110258,0.6193,0.5958,-0.7301,1.128
0.114438,0.6069,0.5420,-0.6596,1.047
0.119458,0.5956,0.4520,-0.5504,0.928
0.124126,0.5788,0.3571,-0.4126,0.795
0.129604,0.5073,0.2929,-0.2894,0.653
0.134472,0.3744,0.2901,-0.1974,0.513
0.138925,0.3281,0.2132,-0.1389,0.415
0.144029,0.2988,0.1199,-0.1139,0.342
0.149637,0.3033,0.0340,-0.0770,0.315
0.153856,0.2780,-0.0465,-0.0145,0.282
0.158731,0.2565,-0.1123,0.0425,0.283
0.164041,0.2772,-0.1280,0.1318,0.333
0.168731,0.2666,-0.1534,0.1702,0.352
0.173533,0.2436,-0.1671,0.1795,0.346
0.185239,0.2341,-0.1617,0.1360,0.315
0.185723,0.2683,-0.1304,0.0596,0.304
0.188426,0.2738,-0.0922,-0.0471,0.293
0.193846,0.2341,-0.0544,-0.1339,0.275
0.198375,0.1940,-0.0571,-0.1960,0.282
0.203369,0.1699,-0.0410,-0.2381,0.295
0.208377,0.0975,-0.0183,-0.2176,0.239
0.213190,0.0651,-0.0100,-0.2183,0.228
0.217979,0.0394,-0.0379,-0.1661,0.175
0.223911,0.0085,-0.0518,-0.1494,0.158
0.228713,-0.0466,-0.0659,-0.0967,0.126
0.233047,-0.0925,-0.0873,-0.0511,0.137
0.238789,-0.1457,-0.1063,-0.0032,0.180
0.243601,-0.2061,-0.1207,0.0281,0.240
0.248027,-0.2234,-0.1421,0.0568,0.271
0.253022,-0.2553,-0.1800,0.0593,0.318
0.257415,-0.3060,-0.2104,0.0998,0.385
0.262441,-0.3659,-0.2310,0.1375,0.454
0.267560,-0.4134,-0.2487,0.1557,0.507
0.273206,-0.4581,-0.3133,0.1664,0.579
0.285295,-0.4931,-0.3344,0.1720,0.620
0.285738,-0.5421,-0.3881,0.1796,0.690
0.287161,-0.5670,-0.4100,0.1892,0.725
0.291975,-0.5969,-0.4503,0.1915,0.772
0.297381,-0.5911,-0.4661,0.1768,0.773
0.302054,-0.6142,-0.4623,0.1620,0.786
0.306946,-0.6280,-0.4843,0.1472,0.807
0.312106,-0.6110,-0.4749,0.1655,0.791
0.316705,-0.5828,-0.4297,0.1528,0.740
0.322498,-0.5382,-0.4084,0.1376,0.689
0.327511,-0.4942,-0.3753,0.1202,0.632
0.331816,-0.4461,-0.3331,0.0912,0.564
0.336512,-0.3962,-0.3078,0.0625,0.506
0.342355,-0.3994,-0.2613,0.0199,0.478
0.346972,-0.3533,-0.2081,0.0016,0.410
0.351386,-0.3389,-0.1958,0.0121,0.392
0.356427,-0.3417,-0.1884,0.0155,0.390
0.361306,-0.3328,-0.1717,0.0357,0.376
0.366377,-0.3337,-0.1931,0.0487,0.389
0.372273,-0.3277,-0.2310,0.0806,0.409
0.376950,-0.3408,-0.2448,0.0815,0.427
0.381132,-0.3561,-0.2656,0.0917,0.454
0.386380,-0.3809,-0.2979,0.0900,0.492
0.391898,-0.4127,-0.3324,0.1073,0.541
0.401952,-0.4373,-0.3783,0.0911,0.585
0.402508,-0.4644,-0.3762,0.0775,0.603
0.406012,-0.4462,-0.3647,0.0522,0.579
0.411091,-0.4332,-0.3695,0.0268,0.570
0.415734,-0.3965,-0.3244,0.0087,0.512
0.420493,-0.3411,-0.2698,-0.0284,0.436
0.425597,-0.2551,-0.2013,-0.1034,0.341
0.430491,-0.1743,-0.1378,-0.1543,0.271
0.435167,-0.0821,-0.0648,-0.2218,0.245
0.441027,0.0236,0.0271,-0.2678,0.270
0.445919,0.1243,0.1114,-0.3210,0.362
0.450400,0.1767,0.2050,-0.3527,0.445
0.455024,0.2594,0.2649,-0.3583,0.516
0.461172,0.2989,0.3009,-0.3545,0.553
0.465029,0.3641,0.3487,-0.3154,0.595
0.469792,0.3768,0.3795,-0.2790,0.603
0.475644,0.3972,0.4170,-0.2146,0.615
0.482813,0.4110,0.4589,-0.1507,0.634
0.485409,0.4661,0.5146,-0.0972,0.701
0.489584,0.4931,0.5743,-0.0418,0.758
0.496588,0.5519,0.5952,0.0274,0.812
0.499545,0.6209,0.6396,0.0720,0.894
0.504459,0.6643,0.6906,0.0757,0.961
0.509191,0.6300,0.6649,0.0983,0.921
0.514478,0.6258,0.6342,0.1397,0.902
0.519347,0.6437,0.6415,0.1308,0.918
0.524979,0.6646,0.6198,0.0819,0.912
0.529240,0.7131,0.5926,0.0716,0.930
0.534149,0.9246,0.6048,0.2754,1.139
0.539918,1.0698,0.6418,0.4993,1.344
0.544611,1.0490,0.7178,0.4772,1.358
0.549148,1.0101,0.8255,0.3395,1.348
0.553791,1.0286,0.8821,0.2080,1.371
0.559778,1.0659,0.9330,0.0850,1.419
0.564601,1.0882,0.9429,-0.0199,1.440
0.569572,1.0621,0.9429,-0.1236,1.426
0.574008,1.0620,0.9094,-0.1880,1.411
0.592184,1.0831,0.8782,-0.2327,1.414
0.593935,1.0184,0.8209,-0.2743,1.337
0.594558,0.9254,0.7801,-0.2581,1.238
0.595194,0.8398,0.7176,-0.2104,1.124
0.620948,0.7492,0.6285,-0.1883,0.996
0.621733,0.6541,0.5602,-0.1367,0.872
0.622079,0.5521,0.5005,-0.0487,0.747
0.622437,0.4937,0.4704,0.0210,0.682
