time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
12.881383,0.4030,-0.4428,-0.6837,0.909
12.885127,0.4430,-0.5043,-0.9234,1.142
12.887960,0.3373,-0.5689,-1.1475,1.324
12.893485,0.1308,-0.6342,-1.3128,1.464
12.897406,-0.0692,-0.6768,-1.3263,1.491
12.902899,-0.2082,-0.6404,-1.0345,1.234
12.909110,-0.3886,-0.5214,-0.3660,0.746
12.911734,-0.8437,-0.3661,0.5277,1.060
12.916375,-1.4555,-0.1469,1.3917,2.019
12.923260,-1.6321,0.1594,1.9354,2.537
12.926076,-1.1507,0.4312,1.8410,2.213
12.930781,-0.2890,0.5698,1.1537,1.319
12.935186,0.4860,0.4889,0.3422,0.770
12.940616,0.7881,0.1951,-0.2625,0.853
12.945433,0.6314,-0.1881,-0.5855,0.881
12.948930,0.2860,-0.5391,-0.6611,0.900
12.954067,0.1034,-0.7254,-0.5233,0.900
12.960553,0.2142,-0.7201,-0.3081,0.812
12.963726,0.3367,-0.5867,-0.2409,0.718
12.968032,0.2985,-0.3830,-0.3029,0.572
12.974149,0.2045,-0.1975,-0.3834,0.477
12.977634,0.1309,-0.0943,-0.4392,0.468
12.982873,0.1042,-0.0656,-0.4114,0.429
12.986981,0.1155,-0.0800,-0.2823,0.315
12.992623,0.0941,-0.1136,-0.0483,0.155
12.996278,-0.0184,-0.1427,0.2301,0.271
13.001755,-0.1521,-0.1270,0.4502,0.492
13.007603,-0.1705,-0.0666,0.5382,0.569
13.010581,-0.0599,-0.0117,0.4377,0.442
13.015246,0.0554,0.0261,0.2188,0.227
13.020598,0.0540,0.0355,-0.0085,0.065
13.025689,-0.0471,0.0260,-0.1892,0.197
13.029429,-0.1690,0.0171,-0.2427,0.296
13.034829,-0.2332,-0.0032,-0.1346,0.269
13.039513,-0.1660,-0.0303,0.0244,0.170
13.043649,0.0038,-0.0545,0.1337,0.144
13.048989,0.1120,-0.0876,0.1884,0.236
13.053182,0.0711,-0.1248,0.2176,0.261
13.057814,-0.0445,-0.1353,0.2052,0.250
13.064712,-0.1114,-0.1359,0.1307,0.219
13.066959,-0.0662,-0.1579,0.0497,0.178
13.073245,0.0520,-0.1775,0.0220,0.186
13.076810,0.1690,-0.1854,0.0283,0.252
13.082061,0.2542,-0.1935,0.0229,0.320
13.085849,0.3313,-0.1972,-0.0032,0.386
13.090768,0.4214,-0.1918,-0.1019,0.474
13.095421,0.5140,-0.2057,-0.2671,0.615
13.100298,0.5800,-0.2627,-0.4174,0.761
13.104720,0.5900,-0.3621,-0.5545,0.887
13.109710,0.5676,-0.4657,-0.6945,1.011
13.114275,0.5714,-0.5523,-0.8250,1.145
13.118798,0.5700,-0.6218,-0.8956,1.230
13.125305,0.5770,-0.6770,-0.8968,1.263
13.128388,0.6894,-0.7398,-0.9015,1.355
13.132976,0.7400,-0.8032,-0.8358,1.375
13.138340,0.5447,-0.8360,-0.5991,1.164
13.143074,0.2641,-0.8260,-0.3112,0.921
13.147287,0.1470,-0.7852,-0.1682,0.816
13.153814,0.2536,-0.7279,-0.1626,0.788
13.156595,0.5196,-0.6616,-0.2057,0.866
13.162107,0.8574,-0.5746,-0.3191,1.080
13.166255,1.1486,-0.4857,-0.4774,1.335
13.170678,1.3685,-0.4330,-0.6219,1.564
