time,ax,ay,az,atotal
0.006180286407470703,-0.06,0.36,-2.49,2.51
0.023415088653564453,0.27,0.24,-2.66,2.68
0.02519512176513672,0.25,0.11,-2.23,2.24
0.03034210205078125,0.02,0.06,-1.61,1.61
0.039530277252197266,-0.23,0.16,-1.09,1.12
0.05020713806152344,-0.36,0.3,-0.73,0.86
0.05991411209106445,-0.42,0.27,-0.69,0.85
0.06994414329528809,-0.37,0.28,-0.89,1.0
0.0801541805267334,-0.27,0.48,-1.18,1.3
0.09037518501281738,-0.25,0.7,-1.4,1.58
0.10010433197021484,-0.31,0.93,-1.56,1.84
0.11628413200378418,-0.29,1.16,-1.61,2.0
0.11948108673095703,-0.31,1.23,-1.48,1.94
0.12990021705627441,-0.28,1.22,-1.26,1.77
0.13958024978637695,-0.22,1.27,-1.0,1.63
0.15017127990722656,-0.12,1.29,-0.82,1.53
0.15976715087890625,-0.04,1.32,-0.75,1.51
0.16987013816833496,-0.02,1.34,-0.65,1.48
0.18015813827514648,0.07,1.25,-0.56,1.37
0.18989014625549316,0.13,1.22,-0.49,1.32
0.2001962661743164,0.12,1.1,-0.4,1.17
0.21771907806396484,0.07,0.91,-0.37,0.98
0.21972227096557617,0.05,0.8,-0.31,0.85
0.23127508163452148,-0.02,0.69,-0.16,0.7
0.2398991584777832,-0.17,0.55,0.06,0.57
0.2503831386566162,-0.32,0.46,0.21,0.59
0.2599000930786133,-0.36,0.47,0.31,0.66
0.26996421813964844,-0.33,0.39,0.33,0.6
0.28075218200683594,-0.29,0.35,0.28,0.53
0.2905282974243164,-0.26,0.41,0.24,0.54
0.30023813247680664,-0.18,0.44,0.04,0.47
0.32056617736816406,0.01,0.46,-0.26,0.52
0.32267332077026367,0.28,0.48,-0.53,0.76
0.33040714263916016,0.5,0.58,-0.67,1.01
0.3398001194000244,0.7,0.74,-0.63,1.19
0.35036420822143555,0.97,0.88,-0.62,1.44
0.3598771095275879,1.44,1.08,-0.6,1.89
0.36992931365966797,1.54,1.13,-0.78,2.06
0.38018012046813965,1.44,1.09,-0.56,1.89
0.38982319831848145,1.46,0.92,0.07,1.72
0.4002070426940918,1.44,0.68,0.89,1.82
0.4198770523071289,1.24,0.5,1.44,1.96
0.42205810546875,0.84,0.15,1.65,1.85
0.4301490783691406,0.89,-0.38,1.32,1.63
0.4395902156829834,1.16,-0.73,0.59,1.49
0.4505343437194824,1.4,-0.8,0.12,1.61
0.45972633361816406,1.55,-0.93,-0.51,1.87
0.4697871208190918,1.41,-1.27,-1.66,2.52
0.48025012016296387,1.37,-1.4,-2.69,3.32
0.49004411697387695,1.7,-1.29,-3.32,3.94
0.5000252723693848,2.26,-0.94,-3.66,4.4
0.5202171802520752,2.65,-0.32,-3.86,4.69
0.5225651264190674,2.76,0.34,-3.88,4.77
0.5298023223876953,2.55,0.67,-3.45,4.34
0.5395591259002686,2.21,0.56,-2.72,3.54
0.5502052307128906,2.07,0.44,-2.08,2.96
0.5598082542419434,2.01,0.56,-1.29,2.45
0.5696272850036621,1.53,0.62,-0.38,1.69
0.5799212455749512,0.74,0.34,0.94,1.24
0.5895631313323975,0.01,-0.06,2.26,2.26
0.6001782417297363,-0.44,-0.5,2.86,2.93
0.6199960708618164,-0.48,-0.69,3.27,3.37
0.622246265411377,-0.31,-0.46,3.76,3.8
0.6303353309631348,-0.03,-0.27,3.98,3.98
0.6394641399383545,0.39,-0.15,3.72,3.74
0.6499001979827881,0.43,-0.33,3.06,3.1
0.6597621440887451,0.33,-0.72,2.34,2.47
0.6700620651245117,0.57,-0.77,1.66,1.91
0.6800732612609863,0.92,-0.41,1.26,1.61
0.6896872520446777,1.06,-0.05,1.14,1.55
0.6996021270751953,1.2,0.26,1.04,1.6
0.7198491096496582,1.27,0.37,0.87,1.58
0.7220892906188965,1.06,0.56,0.59,1.33
0.7296962738037109,0.72,1.05,0.57,1.39
0.7394442558288574,0.33,1.39,0.67,1.57
0.749913215637207,-0.05,1.54,1.11,1.89
0.759667158126831,-0.19,1.58,1.81,2.41
0.7695202827453613,-0.09,1.52,2.21,2.68
0.780339241027832,0.06,1.54,2.06,2.57
0.7894871234893799,0.37,1.71,1.81,2.51
0.8000130653381348,0.42,1.96,1.64,2.58
0.8201911449432373,0.22,2.3,1.82,2.94
0.8224220275878906,0.26,2.39,2.09,3.18
0.8295693397521973,0.27,2.3,1.79,2.92
0.8393981456756592,0.4,1.93,1.16,2.28
0.8499231338500977,0.41,1.17,0.32,1.28
0.8596551418304443,0.29,0.93,-0.09,0.97
0.8694601058959961,0.34,1.07,0.14,1.13
0.8798313140869141,0.71,1.13,0.12,1.33
0.8894343376159668,1.49,0.89,-0.48,1.8
0.8995270729064941,1.37,1.2,0.88,2.02
0.9173140525817871,0.08,1.23,2.73,2.99
0.9193820953369141,-0.62,0.56,2.76,2.88
0.930211067199707,0.23,0.54,0.28,0.65
0.9395432472229004,0.95,0.35,-0.97,1.4
0.9502511024475098,1.38,-0.73,-1.91,2.46
